@relation control_13_1133-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R4-9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sessionId numeric
@attribute framing {0,1,2}
@attribute whof {tv,watch,alarm,assis}
@attribute purposef {pur}
@attribute whatf {colight,cosecu,itself,cohvac,coalarm,corefri,coassis,cowash,cotv}
@attribute cstore {Locally,'Third Party Share','Remote Server'}
@attribute caction {insight,nothing,reco,opti}
@attribute decision {0,1}

@data
755,2,alarm,pur,cosecu,'Third Party Share',nothing,0
757,2,alarm,pur,cowash,'Third Party Share',nothing,0
759,1,alarm,pur,colight,'Remote Server',nothing,1
761,1,assis,pur,cosecu,'Remote Server',reco,0
762,1,tv,pur,colight,'Remote Server',nothing,1
764,2,tv,pur,cohvac,'Third Party Share',opti,1
765,2,tv,pur,colight,'Third Party Share',reco,0
768,1,alarm,pur,cotv,'Remote Server',insight,0
769,1,alarm,pur,coassis,'Remote Server',nothing,0
770,2,alarm,pur,cotv,'Third Party Share',reco,0
772,1,assis,pur,coalarm,'Remote Server',opti,1
774,1,alarm,pur,coassis,'Remote Server',opti,1
775,1,alarm,pur,cotv,'Remote Server',opti,1
776,2,alarm,pur,coalarm,'Third Party Share',opti,1
779,0,assis,pur,cosecu,Locally,reco,0
781,0,watch,pur,itself,Locally,nothing,1
782,1,alarm,pur,cohvac,'Remote Server',insight,0
785,2,alarm,pur,cowash,'Third Party Share',opti,0
788,1,watch,pur,corefri,'Remote Server',nothing,0
790,0,assis,pur,corefri,Locally,opti,0
791,2,watch,pur,coassis,'Third Party Share',reco,1
792,1,watch,pur,coalarm,'Remote Server',reco,1
798,1,alarm,pur,colight,'Remote Server',nothing,1
799,1,alarm,pur,coassis,'Remote Server',insight,1
800,2,tv,pur,coalarm,'Third Party Share',opti,0
802,0,assis,pur,cohvac,Locally,reco,1
803,1,alarm,pur,coalarm,'Remote Server',nothing,0
804,0,tv,pur,cotv,Locally,opti,1
805,0,alarm,pur,cowash,Locally,insight,1
849,0,watch,pur,coalarm,Locally,insight,0
822,1,alarm,pur,coassis,'Remote Server',reco,1
809,1,watch,pur,cosecu,'Remote Server',reco,1
837,1,tv,pur,cowash,'Remote Server',reco,0
814,0,assis,pur,coalarm,Locally,insight,1
815,2,tv,pur,coassis,'Third Party Share',reco,1
817,0,watch,pur,cosecu,Locally,reco,1
818,0,tv,pur,coalarm,Locally,reco,1
819,1,tv,pur,cohvac,'Remote Server',nothing,0
821,1,watch,pur,corefri,'Remote Server',opti,1
829,0,alarm,pur,cosecu,Locally,nothing,1
832,1,tv,pur,corefri,'Remote Server',insight,0
841,0,watch,pur,cosecu,Locally,nothing,0
839,0,alarm,pur,coassis,Locally,reco,1
842,2,tv,pur,colight,'Third Party Share',reco,1
843,1,watch,pur,cotv,'Remote Server',reco,0
848,0,alarm,pur,cohvac,Locally,reco,1
855,1,assis,pur,corefri,'Remote Server',opti,1
856,0,watch,pur,itself,Locally,nothing,1
857,1,watch,pur,cotv,'Remote Server',opti,1
861,0,watch,pur,coalarm,Locally,nothing,1
862,0,tv,pur,cowash,Locally,reco,0
863,1,alarm,pur,cosecu,'Remote Server',opti,1
864,2,watch,pur,coassis,'Third Party Share',insight,0
865,1,tv,pur,cowash,'Remote Server',nothing,1
867,0,watch,pur,itself,Locally,insight,1
871,2,alarm,pur,corefri,'Third Party Share',opti,1
